"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).PM0_5"
209111	83600.5	9240.63	402.907	117.809	117809	237.852	6108.02	5700.82	68409.9	0.0445502	54000
194671	531500	1824.54	798.389	66.4814	66481.4	158.536	7499.24	6999.29	83991.5	0.0363214	54000
200203	567711	1696.02	830.254	65.82	65820	157.562	7563.44	7059.21	84710.5	0.0360051	54000
203185	585161	1640.46	845.856	65.5399	65539.9	157.163	7592.82	7086.63	85039.5	0.035862	54000
207559	79922.7	9456.5	394.793	119.78	119780	240.006	6083.83	5678.24	68138.9	0.0447193	54000
206423	602952	1587.47	861.897	65.2763	65276.3	156.796	7621.83	7113.71	85364.5	0.0357216	54000
213036	636463	1496.35	892.399	64.8318	64831.8	156.198	7674.18	7162.56	85950.8	0.0354709	54000
209450	84434.6	9193.1	404.702	117.382	117382	237.375	6113.36	5705.8	68469.6	0.044513	54000
209291	617898	1545.52	875.46	65.0703	65070.3	156.515	7645.53	7135.83	85629.9	0.0356077	54000
208760	615182	1552.98	872.99	65.1067	65106.7	156.564	7641.27	7131.85	85582.2	0.0356281	54000
203674	587920	1632.01	848.336	65.4976	65497.6	157.103	7597.38	7090.88	85090.6	0.0358398	54000
175940	4740.11	19917.2	51.3785	335.022	335022	283.858	4518.17	4216.95	50603.5	0.0579193	54000
196031	56382.4	11146.1	332.918	137.077	137077	255.817	5894.22	5501.28	66015.3	0.0460791	54000
187172	464809	2122.58	742.172	68.0761	68076.1	161.027	7367.6	6876.43	82517.1	0.0369859	54000
194009	52472.1	11492.4	320.405	141.124	141124	258.791	5854.53	5464.22	65570.7	0.0463716	54000
168116	4164.01	20891.5	47.1296	360.453	360453	281.698	4343.05	4053.51	48642.2	0.0596852	54000
224495	688157	1373.83	939.948	64.2533	64253.3	155.468	7749.93	7233.27	86799.2	0.0351136	54000
196680	545361	1773.05	810.495	66.2142	66214.2	158.137	7524.36	7022.74	84272.8	0.0361971	54000
176667	4801.09	19827.4	51.8228	332.533	332533	284.04	4534.69	4232.38	50788.6	0.0577556	54000
218409	661546	1434.48	915.415	64.5368	64536.8	155.818	7711.61	7197.51	86370.1	0.0352935	54000
206370	602671	1588.28	861.643	65.2803	65280.3	156.801	7621.38	7113.29	85359.5	0.0357238	54000
210521	624105	1528.74	881.113	64.9885	64988.5	156.405	7655.2	7144.85	85738.3	0.0355614	54000
191782	48035.7	11913.2	305.135	146.326	146326	262.264	5805.49	5418.46	65021.5	0.0467367	54000
