"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).l_5"
216137	651725	1456.96	906.164	66.9681	66968.1	164.762	8132.62	7590.44	91085.3	0.0365374	0.09
207705	610395	1565.01	868.404	67.5795	67579.5	165.768	8079.1	7540.5	90486	0.0367917	0.09
189588	491774	1989.01	764.164	70.0756	70075.6	170.06	7896.88	7370.42	88445.1	0.0376802	0.09
178841	5004.45	19533.8	53.2735	378.409	378409	287.339	4633.14	4324.27	51891.2	0.0610604	0.09
181903	5307.6	19152.2	55.4609	368.726	368726	288.444	4712.35	4398.19	52778.3	0.0603033	0.09
219328	666238	1422.31	919.513	66.7745	66774.5	164.449	8150.51	7607.14	91285.7	0.0364531	0.09
190615	46893.8	12004.7	300.396	166.044	166044	280.548	6181.4	5769.31	69231.7	0.0480324	0.09
223957	686397	1376.63	938.108	66.5214	66521.4	164.044	8174.68	7629.7	91556.4	0.0363397	0.09
211805	631093	1509.03	887.259	67.2613	67261.3	165.242	8106.41	7565.98	90791.8	0.0366616	0.09
187198	38784	12868.4	268.124	182.621	182621	286.229	6043	5640.14	67681.6	0.049045	0.09
189261	43958.8	12304.9	289.338	171.484	171484	282.661	6134.69	5725.71	68708.6	0.0483709	0.09
220097	669654	1414.38	922.661	66.7304	66730.4	164.378	8154.66	7611.02	91332.2	0.0364336	0.09
204092	590987	1621.36	850.85	67.9029	67902.9	166.309	8052.48	7515.65	90187.7	0.0369193	0.09
211629	630232	1511.28	886.473	67.274	67274	165.263	8105.29	7564.94	90779.3	0.0366669	0.09
190241	497689	1962.34	769.141	69.9147	69914.7	169.777	7907.24	7380.09	88561.1	0.0376287	0.09
200690	571443	1682.38	833.327	68.2562	68256.2	166.905	8024.56	7489.59	89875.1	0.0370539	0.09
201054	573608	1675.39	835.26	68.2155	68215.5	166.836	8027.71	7492.53	89910.4	0.0370386	0.09
200901	572699	1678.32	834.448	68.2325	68232.5	166.865	8026.39	7491.3	89895.6	0.037045	0.09
207934	611588	1561.67	869.487	67.5605	67560.5	165.736	8080.71	7541.99	90503.9	0.036784	0.09
217624	113462	7789.25	457.9	113.029	113029	239.852	6756.79	6306.34	75676	0.0441244	0.09
188426	480475	2042.08	754.743	70.397	70397	170.629	7876.65	7351.54	88218.5	0.037781	0.09
209823	86866.6	9044.8	409.237	125.533	125533	253.655	6592.12	6152.64	73831.7	0.0451944	0.09
203636	588447	1629.03	848.564	67.9471	67947.1	166.383	8048.91	7512.32	90147.8	0.0369364	0.09
224583	689050	1370.81	940.558	66.4893	66489.3	163.993	8177.81	7632.62	91591.4	0.0363251	0.09
225740	693914	1360.26	945.053	66.4312	66431.2	163.901	8183.51	7637.94	91655.3	0.0362984	0.09
201310	67863.6	10230.8	364.922	139.44	139440	265.561	6435.03	6006.03	72072.4	0.0462509	0.09
209393	619071	1541.06	876.292	67.443	67443	165.541	8090.68	7551.3	90615.6	0.0367364	0.09
195593	538948	1794.92	804.616	68.9159	68915.9	168.035	7975.39	7443.7	89324.4	0.037293	0.09
218978	121670	7465.76	470.598	110.088	110088	236.134	6799.96	6346.63	76159.5	0.0438501	0.09
217837	114577	7743.85	459.681	112.61	112610	239.333	6762.82	6311.96	75743.5	0.0440859	0.09
177302	4865.57	19725.2	52.2676	383.03	383030	286.779	4594.21	4287.93	51455.2	0.0614359	0.09
200210	568568	1691.75	830.764	68.3107	68310.7	166.998	8020.35	7485.66	89828	0.0370742	0.09
218677	119565	7546.44	467.431	110.812	110812	237.067	6789.14	6336.53	76038.4	0.0439186	0.09
230789	714509	1317.11	964.103	66.1951	66195.1	163.529	8207.22	7660.07	91920.8	0.036188	0.09
202859	584063	1642.45	844.624	68.0246	68024.6	166.514	8042.72	7506.54	90078.5	0.0369662	0.09
