"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).n_5"
195477	269358	3907.39	602.758	98.6577	98657.7	245.949	9401.42	8774.66	105296	0.0426687	1
189187	495204	1964.17	765.59	83.6095	83609.5	222.736	10371.7	9680.22	116163	0.0406535	1
171946	4430.39	20409.4	49.105	354.377	354377	283.102	4433.32	4137.77	49653.2	0.0592462	1
194205	15186.1	15675.5	129.818	274.842	274842	297.145	5536.08	5167.01	62004.1	0.0542608	1
194018	55448.9	11178.9	328.462	186.727	186727	300.639	6914.83	6453.84	77446.1	0.0492881	1
224013	689776	1362.86	939.942	79.3698	79369.8	215.591	10761	10043.6	120524	0.039913	1
200111	247811	4253.41	588.941	101.569	101569	249.929	9257.69	8640.52	103686	0.04299	1
228455	708137	1324.04	956.934	79.1032	79103.2	215.137	10788.3	10069.1	120829	0.0398624	1
230991	718286	1303.39	966.334	78.9618	78961.8	214.896	10803	10082.8	120993	0.0398353	1
174390	4616.71	20103.9	50.4719	350.2	350200	283.998	4492.36	4192.87	50314.4	0.058951	1
180472	5153.7	19346.1	54.3676	339.265	339265	286.258	4645.45	4335.75	52029.1	0.0582018	1
193034	53481.5	11352.8	322.216	189.787	189787	300.974	6858.97	6401.71	76820.5	0.0494678	1
203445	74718.2	9737.62	380.876	163.311	163311	295.935	7377.84	6885.98	82631.8	0.0478597	1
197526	259513	4060.34	596.504	99.9349	99934.9	247.718	9337.12	8714.65	104576	0.0428116	1
228629	708840	1322.59	957.585	79.0933	79093.3	215.12	10789.4	10070.1	120841	0.0398605	1
207078	610958	1556.07	867.562	80.7098	80709.8	217.866	10629.3	9920.7	119048	0.0401594	1
181694	5277.78	19193.6	55.2621	336.964	336964	286.719	4677.46	4365.63	52387.6	0.058048	1
218298	128581	7188.14	479.097	130.149	130149	279.383	8202.19	7655.38	91864.5	0.045558	1
214080	645551	1465.27	899.173	80.0774	80077.4	216.794	10690.4	9977.68	119732	0.0400447	1
196527	60425.6	10763.7	343.41	179.617	179617	299.639	7048.32	6578.43	78941.2	0.0488654	1
203817	593539	1606.1	851.783	81.0603	81060.3	218.459	10596.3	9889.88	118679	0.0402219	1
207572	84378.5	9155.53	402.677	154.859	154859	293.052	7564.57	7060.27	84723.2	0.0473126	1
