"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).l_5"
216137	651862	1456.35	906.237	67.5038	67503.8	166.828	8235.18	7686.17	92234	0.0367611	0.1
207705	610551	1564.27	868.49	68.1254	68125.4	167.868	8182.17	7636.7	91640.3	0.0370046	0.1
189588	492079	1987.22	764.359	70.6523	70652.3	172.265	8000.85	7467.46	89609.5	0.0378593	0.1
178841	5005.2	19532.1	53.2772	383.295	383295	287.522	4636.36	4327.27	51927.3	0.0614576	0.1
181903	5308.64	19150.2	55.4663	373.905	373905	288.66	4716.2	4401.79	52821.4	0.0607034	0.1
219328	666370	1421.74	919.583	67.3069	67306.9	166.503	8252.87	7702.68	92432.2	0.0366805	0.1
190615	47070.9	11984.1	300.96	168.765	168765	282.817	6237.94	5822.07	69864.9	0.0482026	0.1
223957	686522	1376.1	938.172	67.049	67049	166.082	8276.75	7724.97	92699.6	0.0365721	0.1
211805	631239	1508.36	887.338	67.802	67802	167.325	8209.24	7661.95	91943.4	0.0368799	0.1
187198	39008.8	12839.9	269.024	185.812	185812	288.237	6093.77	5687.52	68250.3	0.0492342	0.1
189261	489022	2001.28	761.798	70.7384	70738.4	172.418	7995.43	7462.41	89548.9	0.0378854	0.1
220097	669785	1413.81	922.729	67.2619	67261.9	166.43	8256.98	7706.51	92478.1	0.0366618	0.1
204092	591154	1620.54	850.945	68.4536	68453.6	168.426	8155.75	7612.04	91344.4	0.037127	0.1
211629	630378	1510.61	886.552	67.815	67815	167.346	8208.13	7660.92	91931.1	0.036885	0.1
190241	497978	1960.66	769.324	70.4899	70489.9	171.976	8011.18	7477.1	89725.2	0.0378097	0.1
200690	571625	1681.46	833.433	68.8119	68811.9	169.04	8128.02	7586.15	91033.8	0.0372563	0.1
201054	573788	1674.49	835.364	68.7708	68770.8	168.969	8131.15	7589.08	91068.9	0.0372417	0.1
200901	572880	1677.41	834.553	68.788	68788	168.998	8129.84	7587.85	91054.2	0.0372478	0.1
207934	611743	1560.94	869.573	68.106	68106	167.836	8183.76	7638.18	91658.1	0.0369973	0.1
217624	113929	7768.64	458.556	114.129	114129	242.431	6838.91	6382.98	76595.8	0.0442245	0.1
188426	480817	2040.03	754.964	70.9764	70976.4	172.843	7980.67	7448.63	89383.6	0.0379565	0.1
209823	87105.3	9029.77	409.639	126.994	126994	256.298	6666.96	6222.5	74669.9	0.045311	0.1
203636	588616	1628.21	848.66	68.4985	68498.5	168.502	8152.22	7608.73	91304.8	0.0371435	0.1
224583	689175	1370.29	940.622	67.0164	67016.4	166.029	8279.84	7727.85	92734.2	0.0365582	0.1
225740	694037	1359.75	945.116	66.9572	66957.2	165.933	8285.47	7733.1	92797.2	0.0365327	0.1
