"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).T0_6"
0.00636462	4370.36	20496.2	48.6259	539.109	539109	286.854	4479.37	4180.75	50168.9	0.10967	0.00636462	16692.5	170947	0.11
0.157346	664711	1406.26	914.26	106.498	106498	318.228	15802.2	14748.7	176985	0.0435005	0.157346	21173	216832	0.11
0.0574439	42121.8	12438.5	280.553	521.436	521436	328.999	7093.21	6620.33	79443.9	0.0887867	0.0574439	18247.5	186872	0.11
0.0308383	4795.19	19815.3	51.7299	535.542	535542	289.325	4620.94	4312.88	51754.5	0.102786	0.0308383	17221.4	176363	0.11
0.125461	98472.1	8383.28	428.433	270.742	270742	355.615	9634.28	8992	107904	0.0540275	0.125461	20541.3	210363	0.11
0.0982944	77212.9	9533.33	384.727	430.5	430500	353.948	8931.12	8335.72	100029	0.066046	0.0982944	19786	202627	0.11
0.106421	208460	4947.29	556.3	391.336	391336	423.377	14765.8	13781.4	165377	0.0621368	0.106421	20035.8	205186	0.11
0.0319887	4828.94	19766.3	51.9746	535.218	535218	289.508	4631.49	4322.73	51872.7	0.102281	0.0319887	17259.5	176754	0.11
0.115826	197062	5198.87	547.613	335.45	335450	414.458	14155	13211.4	158536	0.0579476	0.115826	20299	207882	0.11
0.186488	169601	5983.21	532.026	67.0058	67005.8	125.974	4041.51	3772.08	45265	0.0365537	0.186488	21575.6	220955	0.11
0.0900437	70690.7	9958.91	369.188	461.326	461326	350.162	8618.13	8043.59	96523	0.0702789	0.0900437	19510.8	199809	0.11
0.0678558	52344.5	11414.9	317.262	509.842	509842	337.197	7659.33	7148.7	85784.4	0.0827116	0.0678558	18673.4	191233	0.11
0.0884154	69394.9	10048.5	365.948	466.435	466435	349.344	8553.8	7983.54	95802.5	0.0711438	0.0884154	19454	199227	0.11
0.0534877	303222	3382.44	617.374	524.683	524683	466.264	18730.9	17482.2	209786	0.0910685	0.0534877	18084.6	185203	0.11
0.0729278	56739.3	11025.6	331.056	502.141	502141	340.538	7897.19	7370.72	88448.6	0.0797718	0.0729278	18875.4	193303	0.11
0.0763746	564301	1652.4	817.753	495.939	495939	523.577	25260	23576	282912	0.0777984	0.0763746	19009.7	194677	0.11
0.0985311	77399.3	9521.74	385.154	429.486	429486	354.046	8939.76	8343.78	100125	0.0659284	0.0985311	19793.5	202705	0.11
0.0951726	74751.5	9689.21	379.007	443.177	443177	352.592	8815.33	8227.64	98731.7	0.0676173	0.0951726	19684.4	201587	0.11
0.0983544	77260.1	9530.39	384.836	430.244	430244	353.973	8933.31	8337.76	100053	0.0660162	0.0983544	19787.9	202647	0.11
0.0148836	4454.96	20350.6	49.2483	538.473	538473	287.372	4508.88	4208.29	50499.5	0.10822	0.0148836	16805.2	172102	0.11
0.0943726	602310	1537.57	851.936	446.223	446223	526.622	25748.7	24032.1	288385	0.0680261	0.0943726	19657.9	201315	0.11
0.0984465	77332.7	9525.88	385.002	429.849	429849	354.011	8936.68	8340.9	100091	0.0659704	0.0984465	19790.8	202677	0.11
0.0710669	550850	1697.43	805.833	505.151	505151	522.048	25055.8	23385.4	280625	0.0808464	0.0710669	18801.9	192549	0.11
0.164915	105546	8165.75	446.927	89.1559	89155.9	177.248	4870.2	4545.52	54546.2	0.0414833	0.164915	21291.1	218041	0.11
0.122008	95839	8508.86	423.463	294.32	294320	357.484	9607.34	8966.85	107602	0.0553898	0.122008	20457.5	209505	0.11
0.103079	617184	1497.04	865.495	408.531	408531	526.623	25871.4	24146.7	289760	0.0637123	0.103079	19935.6	204160	0.11
0.0292094	4749.54	19882.8	51.3987	535.971	535971	289.075	4606.51	4299.41	51592.9	0.103479	0.0292094	17168.9	175826	0.11
0.00438763	4360.42	20513.7	48.5525	539.182	539182	286.792	4475.86	4177.47	50129.6	0.109843	0.00438763	16679	170809	0.11
0.0993861	78072.6	9480.15	386.687	425.761	425761	354.397	8970.79	8372.74	100473	0.0655055	0.0993861	19820.7	202984	0.11
0.15059	663370	1401.24	911.436	128.694	128694	382.961	19028	17759.4	213113	0.0454449	0.15059	21058.4	215658	0.11
0.0381393	5031.01	19486.7	53.4355	533.153	533153	290.562	4692.64	4379.79	52557.5	0.0993759	0.0381393	17477.3	178984	0.11
0.154852	173359	5829.84	531.39	113.881	113881	262.103	8509.62	7942.31	95307.7	0.0442019	0.154852	21131.8	216410	0.11
0.0960403	75436.1	9645.3	380.615	439.782	439782	352.979	8847.85	8258	99096	0.0671768	0.0960403	19712.9	201879	0.11
0.0726464	56500.3	11046	330.332	502.61	502610	340.36	7884.38	7358.75	88305	0.0799339	0.0726464	18864.4	193189	0.11
0.0533966	36583.1	13065.1	257.139	524.751	524751	324.39	6784.47	6332.17	75986.1	0.0911206	0.0533966	18080.8	185165	0.11
0.0238528	4617.01	20086	50.4341	537.152	537152	288.328	4563.56	4259.33	51111.9	0.105554	0.0238528	17010.7	174206	0.11
0.0967479	221161	4686.07	565.413	436.94	436940	430.946	15367.8	14343.3	172120	0.0668197	0.0967479	19736	202116	0.11
0.0638602	48697.7	11760.5	304.985	514.887	514887	334.334	7459	6961.73	83540.7	0.0850444	0.0638602	18511.2	189572	0.11
0.103678	618134	1494.52	866.365	405.56	405560	526.57	25876.5	24151.4	289817	0.0634265	0.103678	19953.8	204346	0.11
0.12188	95740.2	8513.66	423.274	295.19	295190	357.532	9605.69	8965.31	107584	0.0554412	0.12188	20454.4	209472	0.11
0.138249	175282	5740.59	530.039	188.265	188265	364.913	11930.7	11135.4	133624	0.0493786	0.138249	20823.6	213254	0.11
0.070582	6885.88	17739.6	66.7967	505.899	505899	297.579	5114.25	4773.3	57279.6	0.0811272	0.070582	18782.6	192352	0.11
0.0661361	50800.6	11558.6	312.163	512.115	512115	335.994	7574.8	7069.82	84837.8	0.0837147	0.0661361	18603.8	190521	0.11
0.123571	97040.3	8451.01	425.741	283.656	283656	356.783	9624	8982.4	107789	0.0547671	0.123571	20495.9	209897	0.11
0.172201	105684	8177.94	448.198	78.2163	78216.3	146.475	4021.46	3753.36	45040.3	0.03969	0.172201	21395.2	219108	0.11
0.0964307	75744.1	9625.68	381.334	438.222	438222	353.15	8862.4	8271.58	99258.9	0.0669796	0.0964307	19725.7	202010	0.11
0.0779335	7698.47	17278.9	72.7414	492.844	492844	299.531	5237.59	4888.42	58661	0.0769142	0.0779335	19069.4	195289	0.11
0.0673293	51875.4	11458.2	315.727	510.555	510555	336.833	7633.69	7124.78	85497.3	0.0830185	0.0673293	18652.1	191016	0.11
0.140371	174134	5773.8	529.239	176.297	176297	355.432	11590.5	10817.8	129813	0.048665	0.140371	20866.5	213693	0.11
0.0165958	4480.12	20308.3	49.4329	538.276	538276	287.524	4517.53	4216.36	50596.4	0.107797	0.0165958	16838	172438	0.11
0.126747	99430.9	8338.67	430.223	261.966	261966	354.585	9634.04	8991.77	107901	0.0535316	0.126747	20571.7	210674	0.11
0.0678841	268760	3857.74	596.166	509.804	509804	452.956	17394	16234.4	194813	0.0826951	0.0678841	18674.5	191245	0.11
0.0241507	4623.68	20075.5	50.4828	537.095	537095	288.367	4565.76	4261.38	51136.5	0.105447	0.0241507	17018.9	174289	0.11
0.207454	120628	7575.67	473.412	61.6979	61697.9	103.78	2966.14	2768.4	33220.8	0.0327257	0.207454	21792.7	223178	0.11
0.134093	178231	5659.83	532.332	213.45	213450	380.146	12508.4	11674.5	140094	0.0508226	0.134093	20736.5	212362	0.11
0.00834919	4384.02	20472.4	48.7265	539.009	539009	286.938	4484.18	4185.24	50222.8	0.109433	0.00834919	16710.9	171136	0.11
0.101118	79435.4	9397.17	389.754	417.914	417914	355.079	9032.76	8430.58	101167	0.0646579	0.101118	19875.1	203541	0.11
0.107799	84693.4	9091.17	401.166	383.81	383810	357.283	9258.88	8641.62	103699	0.0615002	0.107799	20076.1	205598	0.11
0.105228	209969	4915.26	557.412	397.646	397646	424.365	14840.3	13850.9	166211	0.0626939	0.105228	20000.4	204824	0.11
0.0839095	11632.1	16138.7	102.503	479.08	479080	304.978	5575.84	5204.11	62449.4	0.0735836	0.0839095	19292.5	197574	0.11
0.0117823	4416.33	20416.5	48.9644	538.768	538768	287.137	4495.49	4195.79	50349.5	0.108877	0.0117823	16754.2	171579	0.11
0.00500176	4363.12	20509	48.5724	539.162	539162	286.809	4476.81	4178.36	50140.3	0.109796	0.00500176	16682.6	170846	0.11
0.0955149	75021.6	9671.83	379.643	441.85	441850	352.745	8828.19	8239.65	98875.7	0.0674432	0.0955149	19695.7	201703	0.11
0.0897578	70463.5	9974.48	368.624	462.244	462244	350.02	8606.89	8033.1	96397.2	0.0704301	0.0897578	19500.9	199708	0.11
0.0646594	49445.1	11687.9	307.568	513.943	513943	334.927	7500.24	7000.22	84002.7	0.0845773	0.0646594	18543.8	189906	0.11
0.0569303	508312	1858.25	768.903	521.889	521889	516.289	24329	22707.1	272485	0.0890846	0.0569303	18226.3	186655	0.11
0.148899	172408	5838.08	529.137	135.38	135380	305.145	9900.67	9240.63	110888	0.045954	0.148899	21028.2	215349	0.11
0.0997884	78389.2	9460.73	387.404	423.974	423974	354.559	8985.3	8386.28	100635	0.0653075	0.0997884	19833.5	203114	0.11
0.217011	130128	7219.91	486.956	60.9005	60900.5	103.143	3021.34	2819.92	33839	0.031237	0.217011	21876.3	224034	0.11
0.0929187	72970.2	9805.53	374.76	451.55	451550	351.553	8729.7	8147.72	97772.7	0.068775	0.0929187	19609.1	200816	0.11
0.0330405	4860.9	19720.5	52.2061	534.906	534906	289.679	4641.4	4331.97	51983.7	0.101807	0.0330405	17295.2	177120	0.11
0.0495009	5506.34	18913.2	56.8542	527.449	527449	292.787	4823.34	4501.78	54021.4	0.093328	0.0495009	17921.6	183535	0.11
0.123297	96830.8	8461.04	425.345	285.527	285527	356.922	9621.58	8980.14	107762	0.0548755	0.123297	20489.2	209829	0.11
0.107456	84423.2	9106.37	400.595	385.707	385707	357.19	9247.86	8631.34	103576	0.0616579	0.107456	20066.1	205496	0.11
0.0850663	66715.8	10239.3	359.073	476.033	476033	347.597	8418.88	7857.62	94291.4	0.0729509	0.0850663	19334.6	198004	0.11
0.103954	81667.2	9264.6	394.677	404.174	404174	356.107	9131.51	8522.75	102273	0.0632953	0.103954	19962.2	204432	0.11
0.020475	4547.21	20197.7	49.9243	537.737	537737	287.922	4540.3	4237.62	50851.4	0.106685	0.020475	16923.9	173317	0.11
0.0496998	5515.95	18902.7	56.9232	527.322	527322	292.829	4825.8	4504.08	54049	0.0932165	0.0496998	17929.7	183617	0.11
0.0296889	4762.72	19863.2	51.4943	535.848	535848	289.148	4610.7	4303.32	51639.8	0.103278	0.0296889	17184.1	175982	0.11
0.0950765	74675.6	9694.1	378.828	443.548	443548	352.548	8811.72	8224.27	98691.2	0.0676663	0.0950765	19681.2	201555	0.11
0.121716	642687	1433.29	889.095	296.305	296305	518.261	25652.9	23942.7	287312	0.0555072	0.121716	20450.3	209431	0.11
0.163521	105682	8155.23	446.912	91.8345	91834.5	184.633	5076.61	4738.17	56858.1	0.0418426	0.163521	21270.1	217827	0.11
0.0189507	4519.18	20243.6	49.7191	537.965	537965	287.757	4530.84	4228.78	50745.4	0.107146	0.0189507	16888.3	172952	0.11
0.0350861	4926.1	19629	52.6779	534.253	534253	290.023	4661.33	4350.57	52206.9	0.100858	0.0350861	17366.5	177850	0.11
0.086169	67600.3	10175.4	361.37	473.003	473003	348.182	8463.69	7899.45	94793.4	0.0723518	0.086169	19374.2	198411	0.11
0.106503	83672.6	9148.88	399	390.897	390897	356.918	9216.87	8602.41	103229	0.0620988	0.106503	20038.2	205210	0.11
0.0777822	250225	4154.31	584.612	493.153	493153	445.036	16632.2	15523.4	186281	0.0769997	0.0777822	19063.6	195230	0.11
0.0820989	12412.8	16013.2	108.499	483.589	483589	305.706	5617.54	5243.04	62916.4	0.074582	0.0820989	19226	196893	0.11
0.0485505	5461.07	18963.2	56.5292	528.042	528042	292.59	4811.65	4490.87	53890.4	0.0938586	0.0485505	17883.1	183140	0.11
0.0428179	342556	2942.73	642.458	531.143	531143	479.466	20119	18777.8	225333	0.0969734	0.0428179	17655.2	180807	0.11
0.0889706	69837.1	10017.7	367.06	464.726	464726	349.626	8575.82	8004.1	96049.2	0.0708478	0.0889706	19473.4	199427	0.11
0.152477	107912	8015.01	448.313	121.781	121781	255.772	7097.75	6624.56	79494.8	0.0448876	0.152477	21091.3	215996	0.11
0.0369768	4989.99	19541.6	53.1394	533.59	533590	290.353	4680.5	4368.47	52421.6	0.0999489	0.0369768	17434.6	178547	0.11
0.119712	192609	5302.12	544.079	309.844	309844	409.801	13877.9	12952.7	155433	0.0563218	0.119712	20400	208915	0.11
0.189889	110810	7972.73	457.88	65.5639	65563.9	112.336	3126.08	2917.68	35012.1	0.0358745	0.189889	21614.4	221352	0.11
0.0573033	509591	1852.95	769.995	521.561	521561	516.481	24352.6	22729.1	272750	0.0888683	0.0573033	18241.7	186813	0.11
0.021363	4564.53	20169.7	50.0509	537.594	537594	288.024	4546.12	4243.04	50916.5	0.106402	0.021363	16945.6	173540	0.11
0.13564	177037	5691.99	531.38	203.83	203830	374.959	12306.3	11485.9	137831	0.0502779	0.13564	20769.4	212699	0.11
0.0998126	78408.3	9459.56	387.447	423.866	423866	354.568	8986.17	8387.09	100645	0.0652956	0.0998126	19834.2	203122	0.11
0.106347	83550.3	9155.86	398.739	391.732	391732	356.872	9211.77	8597.65	103172	0.0621711	0.106347	20033.6	205163	0.11
0.0148036	4453.85	20352.5	49.2401	538.481	538481	287.365	4508.5	4207.93	50495.2	0.108239	0.0148036	16803.8	172087	0.11
0.107652	84577.4	9097.69	400.921	384.626	384626	357.243	9254.16	8637.21	103647	0.0615679	0.107652	20071.8	205555	0.11
0.12548	98486.5	8382.61	428.46	270.612	270612	355.601	9634.32	8992.03	107904	0.05402	0.12548	20541.7	210367	0.11
0.021879	4574.93	20153	50.1269	537.508	537508	288.085	4549.6	4246.29	50955.5	0.106232	0.021879	16958.6	173673	0.11
