"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).l_6"
0.0630204	47891.3	11839.9	302.161	506.985	506985	333.574	7411.74	6917.62	83011.5	0.0815455	0.0630204	18476.8	189220	0.09
0.0756685	59021.9	10834.6	337.851	478.94	478940	341.922	8011.81	7477.69	89732.3	0.0735537	0.0756685	18982.4	194398	0.09
0.131423	95760.1	8558.45	425.682	144.421	144421	286.56	7676.99	7165.19	85982.3	0.0466044	0.131423	20678.2	211765	0.09
0.053385	36553.5	13068.6	257.008	519.868	519868	324.307	6781.59	6329.49	75953.9	0.0877991	0.053385	18080.3	185160	0.09
0.229022	689324	1373.17	941.41	60.0601	60060.1	140.167	6987.74	6521.89	78262.7	0.0259285	0.229022	21970	224994	0.09
0.0742512	57837.7	10932.9	334.36	482.905	482905	341.084	7949.57	7419.59	89035.1	0.0744255	0.0742512	18927.3	193834	0.09
0.0664265	51052.5	11535.1	313.01	500.903	500903	336.041	7585.17	7079.49	84953.9	0.0793537	0.0664265	18615.6	190642	0.09
0.0375616	5010.39	19514.3	53.2868	531.717	531717	290.441	4686.28	4373.86	52486.4	0.0976233	0.0375616	17456	178766	0.09
0.109778	85677.1	9041.01	403.453	292.701	292701	351.002	9124.14	8515.86	102190	0.0552945	0.109778	20132.9	206180	0.09
0.17778	102770	8337.59	444.61	62.7686	62768.6	103.651	2816.38	2628.62	31543.5	0.0339592	0.17778	21469.2	219865	0.09
0.0279964	4717.15	19931.4	51.1634	535.503	535503	288.888	4596.04	4289.64	51475.6	0.102724	0.0279964	17131	175438	0.09
0.118363	196314	5222.95	547.628	227.181	227181	393.833	13424	12529.1	150349	0.0515914	0.118363	20365.4	208562	0.09
0.0794919	13367.8	15878.6	115.823	466.98	466980	306.155	5656.66	5279.55	63354.6	0.0712397	0.0794919	19128.5	195895	0.09
0.172947	100637	8436.52	440.734	64.054	64054	106.582	2877.66	2685.82	32229.8	0.0349809	0.172947	21405.4	219212	0.09
0.101432	215201	4807.37	561.305	354.269	354269	424.265	14973.2	13975	167700	0.0592385	0.101432	19884.9	203641	0.09
0.0428812	447693	2150.63	718.91	528.682	528682	505.745	23068.6	21530.7	258369	0.0944525	0.0428812	17657.7	180832	0.09
0.0664585	17834.5	15346.1	149.088	500.841	500841	309.59	5847.5	5457.67	65492	0.0793332	0.0664585	18616.9	190655	0.09
0.0852469	10851.5	16285.1	96.5224	445.084	445084	303.611	5518.37	5150.48	61805.7	0.0678717	0.0852469	19341.1	198071	0.09
0.0987887	77434.6	9521.23	385.307	372.063	372063	351.931	8886.63	8294.19	99530.2	0.0605599	0.0987887	19801.8	202789	0.09
0.131473	647451	1434.8	895.974	144.167	144167	415.339	20554.8	19184.4	230213	0.0465866	0.131473	20679.3	211776	0.09
0.0131843	4432.68	20388.5	49.0846	538.505	538505	287.236	4501.15	4201.08	50412.9	0.10829	0.0131843	16775.9	171802	0.09
0.03471	4913.76	19646.2	52.5887	533.045	533045	289.946	4657.37	4346.88	52162.5	0.0992369	0.03471	17353.2	177714	0.09
0.0837204	65592.4	10322.2	356.135	451.383	451383	346.279	8347.73	7791.22	93494.6	0.0687508	0.0837204	19285.6	197503	0.09
0.00224427	4353.76	20525.4	48.5034	539.226	539226	286.75	4473.5	4175.27	50103.2	0.10995	0.00224427	16669.9	170716	0.09
0.0836399	240572	4321.63	578.451	451.705	451705	439.932	16196.8	15117	181404	0.0687975	0.0836399	19282.7	197473	0.09
0.0269121	4689.39	19973.6	50.9615	535.825	535825	288.733	4587.1	4281.3	51375.6	0.10324	0.0269121	17098.2	175102	0.09
0.0310039	4799.93	19808.4	51.7644	534.507	534507	289.342	4622.27	4314.12	51769.5	0.101222	0.0310039	17226.8	176419	0.09
0.149899	94301.7	8714.73	427.203	84.0764	84076.4	160.037	4245.28	3962.27	47547.2	0.0407287	0.149899	21046.1	215533	0.09
0.124821	191597	5340.52	544.511	182.397	182397	367.713	12413.7	11586.1	139033	0.0490316	0.124821	20526	210206	0.09
