"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).n_6"
0.084449	11349.1	16188.8	100.331	475.223	475223	304.657	5558.77	5188.19	62258.2	0.0727878	0.084449	19312.2	197775	3
0.12301	201087	5146.27	554.122	130.683	130683	306.952	10529	9827.08	117925	0.0455992	0.12301	20482.2	209757	3
0.0087695	4387.39	20466.5	48.7513	539.22	539220	286.961	4485.4	4186.37	50236.5	0.109933	0.0087695	16715.5	171183	3
0.142675	202415	5178.73	560.683	66.5589	66558.9	129.522	4430.93	4135.53	49626.4	0.0363567	0.142675	20911.8	214157	3
0.127183	203210	5119.47	557.574	105.321	105321	249.175	8566.14	7995.06	95940.7	0.0433821	0.127183	20581.8	210778	3
0.0580841	42855.2	12359.2	283.441	527.954	527954	329.687	7136.02	6660.28	79923.4	0.0937785	0.0580841	18273.9	187142	3
0.102314	80132	9357.65	391.407	348.067	348067	352.393	8985.72	8386.68	100640	0.0588023	0.102314	19912.1	203920	3
0.0413423	5151.26	19330.9	54.3017	535.963	535963	291.198	4728.08	4412.87	52954.5	0.103466	0.0413423	17598.2	180222	3
0.114951	201544	5108.97	552.072	204.256	204256	385.934	13279.2	12393.9	148727	0.0503022	0.114951	20275.7	207643	3
0.142824	85342	9234.99	411.034	66.4291	66429.1	109.84	2821.64	2633.53	31602.4	0.0362974	0.142824	20914.7	214186	3
0.0678182	52318.5	11417.2	317.174	517.569	517569	337.278	7660.24	7149.56	85794.7	0.0864621	0.0678182	18671.8	191218	3
0.0674173	17458	15388.6	146.368	518.135	518135	309.564	5836.59	5447.48	65369.8	0.0867798	0.0674173	18655.7	191052	3
0.0617379	524074	1795.07	782.435	524.778	524778	518.718	24619.3	22978	275736	0.0911413	0.0617379	18424.2	188682	3
0.038136	382924	2583.14	670.09	536.738	536738	491.052	21383.1	19957.6	239491	0.104798	0.038136	17477.2	178983	3
0.093044	599797	1544.76	849.676	428.652	428652	525.666	25680.3	23968.3	287619	0.0658325	0.093044	19613.3	200860	3
0.035874	4952.43	19592.6	52.8678	537.193	537193	290.191	4669.79	4358.47	52301.6	0.105631	0.035874	17394.7	178138	3
0.0247032	4636.32	20055.6	50.5747	538.613	538613	288.454	4570.17	4265.49	51185.9	0.10853	0.0247032	17034.2	174447	3
0.161539	190114	5468.65	551.26	60.5071	60507.1	110.224	3682.65	3437.14	41245.7	0.0299826	0.161539	21239.7	217515	3
0.133749	205101	5103.71	561.343	80.8296	80829.6	175.236	6032.17	5630.03	67560.3	0.0401809	0.133749	20729.1	212286	3
0.0570254	22518.3	14794.5	181.066	528.746	528746	313.124	6054.77	5651.12	67813.4	0.0945132	0.0570254	18230.2	186695	3
0.108281	207175	4978.21	555.65	281.116	281116	412.414	14346.1	13389.7	160677	0.0546205	0.108281	20090	205741	3
0.131044	84296	9250.45	406.719	88.9766	88976.6	170.432	4374.06	4082.46	48989.5	0.0414584	0.131044	20669.8	211678	3
0.0956614	222771	4654.66	566.564	409.313	409313	430.669	15399.6	14373	172476	0.0637885	0.0956614	19700.5	201752	3
0.11252	86791.5	8987.81	406.158	231.497	231497	339.73	8860.08	8269.41	99232.9	0.0518318	0.11252	20209.6	206966	3
0.0483822	5453.45	18971.6	56.4739	533.575	533575	292.611	4810.59	4489.88	53878.6	0.0999284	0.0483822	17876.3	183071	3
0.0404679	5117.44	19373.9	54.0581	536.191	536191	291.031	4718.39	4403.83	52846	0.103847	0.0404679	17564.7	179880	3
0.10748	208032	4959.38	556.248	290.493	290493	414.309	14434.9	13472.6	161671	0.0551649	0.10748	20066.8	205503	3
0.204559	117320	7709.58	468.588	60.003	60003	98.9618	2802.83	2615.97	31391.6	0.0213561	0.204559	21765.6	222901	3
0.117679	200449	5139.92	551.804	176.003	176003	366.199	12567.9	11730	140760	0.0486472	0.117679	20347.7	208380	3
0.171958	182968	5643.51	545.108	60.128	60128	108.27	3567.14	3329.33	39952	0.0272702	0.171958	21391.9	219074	3
