"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).l_6"
0.0630204	47892.2	11839.8	302.164	507.775	507775	333.585	7412.03	6917.9	83014.7	0.0818582	0.0630204	18476.8	189220	0.1
0.0756685	59024.2	10834.4	337.856	480.795	480795	341.956	8012.7	7478.52	89742.3	0.0739542	0.0756685	18982.4	194398	0.1
0.131423	97134.3	8482.91	427.825	154.684	154684	299.476	8061.72	7524.27	90291.3	0.047301	0.131423	20678.2	211765	0.1
0.053385	36554.2	13068.5	257.011	520.265	520265	324.313	6781.74	6329.62	75955.5	0.0880431	0.053385	18080.3	185160	0.1
0.229022	689334	1373.13	941.415	60.1017	60101.7	140.315	6995.14	6528.8	78345.6	0.0268524	0.229022	21970	224994	0.1
0.0742512	57839.7	10932.7	334.365	484.597	484597	341.114	7950.35	7420.33	89043.9	0.0748164	0.0742512	18927.3	193834	0.1
0.0664265	51053.6	11535	313.013	501.903	501903	336.057	7585.56	7079.86	84958.3	0.0796905	0.0664265	18615.6	190642	0.1
0.0375616	5010.4	19514.3	53.2868	531.834	531834	290.442	4686.3	4373.88	52486.6	0.0977593	0.0375616	17456	178766	0.1
0.109778	85782.9	9034.27	403.633	302.816	302816	352.252	9160.43	8549.74	102597	0.0558957	0.109778	20132.9	206180	0.1
0.17778	103139	8318.72	445.166	63.7878	63787.8	106.332	2892.75	2699.9	32398.8	0.0347948	0.17778	21469.2	219865	0.1
0.0279964	4717.15	19931.4	51.1634	535.554	535554	288.889	4596.05	4289.64	51475.7	0.102804	0.0279964	17131	175438	0.1
0.118363	91704.4	8724.31	415.916	238.713	238713	344.722	9138.9	8529.64	102356	0.0522332	0.118363	20365.4	208562	0.1
0.0794919	13366	15878.7	115.809	469.35	469350	306.195	5657.36	5280.2	63362.4	0.0716656	0.0794919	19128.5	195895	0.1
0.172947	101115	8411.42	441.462	65.4322	65432.2	110.258	2981.69	2782.91	33394.9	0.0358053	0.172947	21405.4	219212	0.1
0.101432	215148	4808.28	561.251	361.964	361964	424.769	14989.8	13990.5	167886	0.0597963	0.101432	19884.9	203641	0.1
0.0428812	447694	2150.62	718.911	528.861	528861	505.748	23068.8	21530.9	258371	0.0946234	0.0428812	17657.7	180832	0.1
0.0664585	17833.9	15346.1	149.084	501.843	501843	309.603	5847.74	5457.89	65494.7	0.0796702	0.0664585	18616.9	190655	0.1
0.0852469	10843.4	16286.6	96.459	448.457	448457	303.672	5519.16	5151.21	61814.6	0.0683347	0.0852469	19341.1	198071	0.1
0.0987887	77460.4	9519.37	385.355	378.943	378943	352.274	8896.26	8303.18	99638.1	0.0611032	0.0987887	19801.8	202789	0.1
0.131473	648559	1429.85	896.558	154.418	154418	433.18	21450.3	20020.3	240243	0.0472835	0.131473	20679.3	211776	0.1
0.0131843	4432.68	20388.5	49.0846	538.513	538513	287.236	4501.16	4201.08	50412.9	0.108309	0.0131843	16775.9	171802	0.1
0.03471	4913.76	19646.1	52.5888	533.137	533137	289.947	4657.38	4346.89	52162.7	0.0993551	0.03471	17353.2	177714	0.1
0.0837204	65597.3	10321.8	356.146	454.461	454461	346.351	8349.67	7793.02	93516.3	0.0692041	0.0837204	19285.6	197503	0.1
0.00224427	4353.76	20525.4	48.5034	539.227	539227	286.75	4473.5	4175.27	50103.2	0.10995	0.00224427	16669.9	170716	0.1
0.0836399	240564	4321.75	578.444	454.768	454768	440.014	16199.6	15119.7	181436	0.0692502	0.0836399	19282.7	197473	0.1
0.0269121	4689.39	19973.6	50.9615	535.87	535870	288.734	4587.11	4281.3	51375.7	0.103314	0.0269121	17098.2	175102	0.1
0.0310039	4799.93	19808.4	51.7645	534.574	534574	289.342	4622.29	4314.13	51769.6	0.101318	0.0310039	17226.8	176419	0.1
0.149899	95901.7	8624.3	429.736	89.2037	89203.7	174.581	4657.57	4347.06	52164.8	0.0414899	0.149899	21046.1	215533	0.1
0.124821	190629	5360.47	543.464	193.802	193802	375.195	12645.7	11802.7	141632	0.0497016	0.124821	20526	210206	0.1
0.121202	93389.9	8642.17	419.386	218.338	218338	339.319	9042.32	8439.5	101274	0.0510972	0.121202	20437.5	209300	0.1
0.180258	104249	8268.34	447.142	63.1491	63149.1	104.876	2862.46	2671.63	32059.6	0.0342979	0.180258	21500.6	220186	0.1
0.0324602	4843.1	19746	52.0773	534.042	534042	289.574	4635.73	4326.68	51920.1	0.100563	0.0324602	17275.4	176917	0.1
0.0390877	5065.41	19441.5	53.6837	531.058	531058	290.718	4702.42	4388.92	52667.1	0.096879	0.0390877	17512.6	179346	0.1
0.153592	96006.9	8631.1	430.562	82.5138	82513.8	156.156	4164.23	3886.61	46639.3	0.0404725	0.153592	21110.5	216191	0.1
0.111157	86788.1	8979.56	405.748	292.514	292514	351.681	9176.43	8564.67	102776	0.0552835	0.111157	20171.8	206578	0.1
0.140483	96869.7	8535.52	429.413	114.899	114899	237.511	6372.25	5947.43	71369.2	0.0442937	0.140483	20868.7	213715	0.1
0.154697	96105.1	8629.3	430.907	80.8061	80806.1	151.416	4038.28	3769.06	45228.8	0.0401767	0.154697	21129.2	216383	0.1
0.0576208	292055	3526.41	610.479	515.436	515436	462.037	18305.4	17085	205020	0.0853235	0.0576208	18254.8	186947	0.1
0.0264707	4678.41	19990.5	50.8816	535.994	535994	288.672	4583.56	4277.99	51335.8	0.103517	0.0264707	17085.1	174967	0.1
0.059375	44241	12212.2	288.788	513.148	513148	330.657	7209.68	6729.03	80748.4	0.0841956	0.059375	18327.1	187687	0.1
0.0381855	5032.61	19484.7	53.4471	531.524	531524	290.554	4692.84	4379.98	52559.8	0.0974015	0.0381855	17479	179002	0.1
0.0571767	293194	3511.3	611.18	515.987	515987	462.468	18349	17125.8	205509	0.085609	0.0571767	18236.5	186759	0.1
0.0481438	5441.85	18984.9	56.3915	525.078	525078	292.472	4806.07	4485.67	53828	0.0913713	0.0481438	17866.7	182972	0.1
